"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"RandAlThor10 (PS)","€0,01/€0,02 NL Fast Holdem","84","12,20","7,32","0,00","100,00","70,00","1,14","50,00","100,00","50,00","94,05"
"RandAlThor10 (PS)","€0,05/€0,10 NL Fast Holdem","483","22,10","19,10","4,21","71,43","15,25","2,50","54,55","50,00","33,33","15,59"
"RandAlThor10 (PS)","€0,05/€0,10 NL Holdem","2358","24,60","21,21","7,43","64,52","27,76","2,55","40,32","47,22","29,41","10,55"
"RandAlThor10 (PS)","€0,02/€0,05 NL Fast Holdem","136","15,15","12,21","6,67","50,00","20,00","1,50","20,00","na","50,00","-118,82"
"RandAlThor10 (PS)","€0,01/€0,02 NL Holdem","72","15,15","12,12","0,00","100,00","33,33","1,00","50,00","na","50,00","-29,17"
