"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Rokkos70 (PS)","€0,01/€0,02 NL Fast Holdem","3674","19,62","15,38","5,52","53,97","27,60","2,74","69,64","34,85","45,12","0,91"
"Rokkos70 (PS)","€0,02/€0,05 NL Fast Holdem","257","15,26","12,05","3,92","0,00","51,72","2,50","81,82","0,00","66,67","-70,19"
"Rokkos70 (PS)","€0,01/€0,02 NL Holdem","46","21,74","13,04","7,69","na","33,33","0,25","0,00","na","na","-243,48"
