"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Liliser (PS)","€0,05/€0,10 NL Holdem","7124","19,91","16,34","5,48","57,65","26,86","3,14","70,39","70,00","48,92","8,29"
"Liliser (PS)","€0,05/€0,10 NL Fast Holdem","600","15,25","13,34","5,26","40,00","31,67","3,14","56,41","50,00","50,00","-33,72"
"Liliser (PS)","€0,01/€0,02 NL Holdem","10","0,00","0,00","0,00","na","50,00","0,00","na","na","na","-30,00"
