"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"JamesBond862 (PS)","€0,01/€0,02 NL Fast Holdem","48","22,92","16,67","0,00","100,00","16,67","4,00","50,00","100,00","66,67","-120,83"
"JamesBond862 (PS)","€0,05/€0,10 NL Fast Holdem","3085","24,26","20,09","8,38","59,09","22,28","4,33","53,81","55,56","50,00","17,65"
"JamesBond862 (PS)","€0,02/€0,05 NL Holdem","1549","21,82","17,72","6,26","69,23","25,30","2,32","28,79","50,00","59,38","12,55"
"JamesBond862 (PS)","€0,02/€0,05 NL Fast Holdem","1608","21,89","18,30","6,62","40,00","20,00","3,47","52,87","38,89","68,75","-5,63"
