"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"linkin83 (PS)","€0,05/€0,10 NL Fast Holdem","171","34,55","29,09","25,45","37,50","35,29","1,94","77,78","75,00","28,57","6,43"
"linkin83 (PS)","€0,05/€0,10 NL Holdem","4627","21,61","16,12","5,68","58,59","36,07","1,90","48,48","37,74","33,33","-8,76"
"linkin83 (PS)","€0,01/€0,02 NL Holdem","38","39,47","18,42","0,00","na","47,06","1,75","33,33","0,00","0,00","-364,47"
