"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"FSDT (PS)","€0,02/€0,05 NL Fast Holdem","1976","11,78","7,80","2,96","37,50","20,00","2,87","59,62","62,50","60,53","1,64"
"FSDT (PS)","€0,02/€0,05 NL Holdem","1337","12,30","8,58","1,10","64,71","33,02","1,36","48,39","50,00","44,44","-23,40"
"FSDT (PS)","€0,01/€0,02 NL Fast Holdem","147","8,45","7,75","4,65","na","27,27","1,75","75,00","na","na","-10,88"
"FSDT (PS)","€0,01/€0,02 NL Holdem","1","0,00","0,00","0,00","na","na","0,00","na","na","na","0,00"
