"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Baudaffi.P (PS)","€0,01/€0,02 NL Fast Holdem","2932","19,69","11,36","0,50","40,38","33,70","0,82","26,13","77,78","47,86","-8,73"
"Baudaffi.P (PS)","€0,02/€0,05 NL Fast Holdem","373","19,06","11,05","0,78","0,00","41,38","0,82","35,71","75,00","50,00","21,07"
"Baudaffi.P (PS)","€0,05/€0,10 NL Fast Holdem","20","25,00","10,00","0,00","na","25,00","3,00","0,00","na","0,00","-8,50"
"Baudaffi.P (PS)","€0,01/€0,02 NL Holdem","3","33,33","0,00","0,00","na","0,00","0,00","na","na","na","-200,00"
"Baudaffi.P (PS)","€0,02/€0,05 NL Holdem","1","100,00","100,00","na","0,00","100,00","1,00","na","na","na","8380,00"
