"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Dulu0z (PS)","€0,01/€0,02 NL Fast Holdem","2729","17,65","7,33","2,25","37,93","33,84","1,15","37,70","100,00","56,47","-2,55"
"Dulu0z (PS)","€0,02/€0,05 NL Fast Holdem","1010","16,34","8,09","4,55","25,00","35,54","1,36","44,12","50,00","51,85","-13,45"
"Dulu0z (PS)","€0,05/€0,10 NL Fast Holdem","10","10,00","10,00","0,00","0,00","0,00","2,00","na","na","0,00","156,00"
"Dulu0z (PS)","€0,01/€0,02 NL Holdem","5","20,00","20,00","33,33","na","100,00","0,00","na","na","na","-2390,00"
