"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"7benedetto (PS)","€0,01/€0,02 NL Fast Holdem","3596","16,97","14,44","5,88","62,07","30,71","3,43","70,97","53,57","58,70","1,82"
"7benedetto (PS)","€0,05/€0,10 NL Fast Holdem","229","19,72","17,05","8,24","100,00","23,08","3,00","38,89","40,00","60,00","-62,27"
"7benedetto (PS)","€0,01/€0,02 NL Holdem","4","0,00","0,00","0,00","na","na","0,00","na","na","na","-12,50"
