"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Frull_all_in (PS)","€0,05/€0,10 NL Fast Holdem","1433","21,39","17,16","7,41","47,22","32,62","2,13","52,13","58,33","52,63","20,82"
"Frull_all_in (PS)","€0,02/€0,05 NL Holdem","1149","18,05","14,51","6,28","52,94","36,43","2,06","52,00","10,00","58,62","-3,32"
"Frull_all_in (PS)","€0,05/€0,10 NL Holdem","214","21,53","15,31","10,13","100,00","19,35","2,33","66,67","0,00","75,00","-20,42"
"Frull_all_in (PS)","€0,02/€0,05 NL Fast Holdem","80","24,36","17,95","5,71","100,00","20,00","1,33","50,00","0,00","100,00","-14,25"
