"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"samilese (PS)","€0,05/€0,10 NL Fast Holdem","223","20,28","11,32","0,00","40,00","46,88","1,18","25,00","100,00","50,00","53,68"
"samilese (PS)","€0,02/€0,05 NL Fast Holdem","1595","22,55","11,75","3,55","41,67","33,07","1,43","41,82","71,43","65,15","-3,64"
"samilese (PS)","€0,02/€0,05 NL Holdem","1461","15,34","4,01","0,87","66,67","31,36","1,24","35,00","66,67","79,17","-6,56"
"samilese (PS)","€0,01/€0,02 NL Holdem","69","14,93","11,94","0,00","0,00","42,86","1,00","33,33","na","na","-27,54"
"samilese (PS)","€0,01/€0,02 NL Fast Holdem","22","27,27","9,52","0,00","0,00","66,67","1,33","na","na","100,00","-275,00"
