"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"nexo2004 (PS)","€0,02/€0,05 NL Fast Holdem","5316","17,20","12,67","4,84","26,04","27,69","1,68","44,85","45,16","53,64","18,96"
"nexo2004 (PS)","€0,01/€0,02 NL Fast Holdem","997","12,83","8,23","2,22","27,27","14,56","2,05","40,91","0,00","61,90","-5,37"
"nexo2004 (PS)","€0,05/€0,10 NL Fast Holdem","285","14,91","8,39","3,88","0,00","24,00","2,25","0,00","na","76,92","23,23"
"nexo2004 (PS)","€0,02/€0,05 NL Holdem","2","50,00","0,00","0,00","na","0,00","0,00","na","na","na","-650,00"
"nexo2004 (PS)","€0,01/€0,02 NL Holdem","1","0,00","0,00","na","na","na","0,00","na","na","na","-50,00"
