"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Mishi75 (PS)","€0,01/€0,02 NL Holdem","3","33,33","33,33","50,00","na","100,00","4,00","100,00","100,00","na","-4683,33"
"Mishi75 (PS)","€0,02/€0,05 NL Fast Holdem","209","19,70","18,72","13,04","66,67","25,00","5,00","41,67","50,00","33,33","32,63"
"Mishi75 (PS)","€0,01/€0,02 NL Fast Holdem","4248","15,12","11,78","3,47","74,60","26,75","2,43","58,33","48,28","64,20","-2,48"
