"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Ganjialf-89 (PS)","€0,05/€0,10 NL Holdem","1917","14,49","11,65","4,57","83,33","19,89","3,29","46,27","70,00","65,38","-16,66"
"Ganjialf-89 (PS)","€0,05/€0,10 NL Fast Holdem","200","25,89","22,84","8,45","77,78","19,23","4,75","60,00","60,00","100,00","-76,95"
"Ganjialf-89 (PS)","€0,02/€0,05 NL Holdem","711","18,69","15,43","4,91","62,50","19,05","3,30","64,00","33,33","75,00","62,25"
"Ganjialf-89 (PS)","€0,02/€0,05 NL Fast Holdem","469","22,74","18,98","3,53","64,29","26,98","6,17","56,25","16,67","57,14","1,36"
