"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Collegame (PS)","€0,01/€0,02 NL Holdem","4","50,00","25,00","33,33","na","100,00","2,00","100,00","100,00","na","4912,50"
"Collegame (PS)","€0,02/€0,05 NL Fast Holdem","6695","17,46","14,44","6,21","50,00","26,59","3,21","78,67","67,72","48,36","-12,73"
"Collegame (PS)","€0,01/€0,02 NL Fast Holdem","4241","20,06","16,29","6,21","40,24","34,04","2,20","67,42","61,76","51,09","-3,67"
"Collegame (PS)","€0,02/€0,05 NL Holdem","4","0,00","0,00","0,00","na","na","0,00","na","na","na","0,00"
