"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"genovangelo (PS)","€0,02/€0,05 NL Fast Holdem","2625","18,00","11,92","5,60","10,00","36,99","1,53","52,53","83,33","43,68","-30,06"
"genovangelo (PS)","€0,05/€0,10 NL Fast Holdem","1066","18,38","11,15","4,53","12,50","44,90","1,15","27,91","60,00","35,14","-46,43"
"genovangelo (PS)","€0,01/€0,02 NL Fast Holdem","104","46,00","14,00","5,41","0,00","48,78","1,92","0,00","na","20,00","51,44"
