"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"dodo1623 (PS)","€0,02/€0,05 NL Fast Holdem","267","15,63","7,81","0,00","60,00","33,33","2,00","40,00","100,00","50,00","2,32"
"dodo1623 (PS)","€0,01/€0,02 NL Fast Holdem","2970","11,50","5,49","0,47","50,00","35,83","2,25","69,49","80,00","77,55","-8,30"
"dodo1623 (PS)","€0,01/€0,02 NL Holdem","1","0,00","0,00","0,00","na","na","0,00","na","na","na","0,00"
