"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"AFARAFE79 (PS)","€0,01/€0,02 NL Fast Holdem","554","19,89","10,24","3,83","50,00","35,05","1,62","38,10","75,00","57,89","-16,97"
"AFARAFE79 (PS)","€0,02/€0,05 NL Fast Holdem","2587","18,57","11,86","3,54","27,45","29,91","2,59","51,92","73,91","60,00","-13,28"
"AFARAFE79 (PS)","€0,05/€0,10 NL Fast Holdem","482","16,56","11,28","4,09","30,00","23,64","2,31","52,38","66,67","38,46","-14,07"
"AFARAFE79 (PS)","€0,02/€0,05 NL Holdem","1","100,00","100,00","100,00","na","100,00","0,00","na","na","na","7820,00"
