"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"columbus1999 (PS)","€0,05/€0,10 NL Fast Holdem","2531","17,89","11,56","4,62","37,21","26,10","1,98","45,95","40,91","64,04","-49,85"
"columbus1999 (PS)","€0,05/€0,10 NL Holdem","1222","25,27","16,40","4,05","46,88","22,81","1,98","59,30","37,50","39,29","-7,86"
"columbus1999 (PS)","€0,01/€0,02 NL Fast Holdem","358","21,49","13,22","1,52","50,00","34,48","1,95","70,00","25,00","66,67","-10,75"
"columbus1999 (PS)","€0,02/€0,05 NL Fast Holdem","2017","19,43","12,35","3,00","44,19","30,60","1,50","52,94","11,11","51,28","14,05"
