"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"NickMC8 (PS)","€0,05/€0,10 NL Holdem","738","20,22","13,99","3,18","41,67","25,00","2,00","51,35","50,00","51,61","40,49"
"NickMC8 (PS)","€0,05/€0,10 NL Fast Holdem","4819","20,96","15,39","6,27","47,57","22,72","2,30","60,53","40,00","55,24","5,16"
"NickMC8 (PS)","€0,10/€0,25 NL Fast Holdem","23","22,73","18,18","0,00","na","66,67","1,00","50,00","0,00","0,00","-50,61"
