"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Arist0s (PS)","€0,05/€0,10 NL Fast Holdem","301","17,77","13,99","8,47","33,33","33,33","3,38","72,22","57,14","71,43","-71,59"
"Arist0s (PS)","€0,01/€0,02 NL Fast Holdem","1490","24,41","18,65","9,98","54,05","31,60","2,26","66,67","56,52","45,45","15,34"
"Arist0s (PS)","€0,02/€0,05 NL Fast Holdem","758","23,58","16,35","6,08","47,62","24,79","2,03","56,10","25,00","42,31","-30,18"
"Arist0s (PS)","€0,01/€0,02 NL Holdem","5","20,00","20,00","0,00","0,00","100,00","1,00","na","na","0,00","-1880,00"
