"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"carlinos91 (PS)","€0,01/€0,02 NL Fast Holdem","5144","13,97","11,44","4,48","45,83","27,94","3,17","67,20","65,12","72,15","-17,14"
"carlinos91 (PS)","€0,01/€0,02 NL Holdem","11","45,45","36,36","0,00","50,00","40,00","2,50","100,00","50,00","na","-1681,82"
"carlinos91 (PS)","€0,02/€0,05 NL Fast Holdem","15","33,33","26,67","16,67","na","33,33","2,00","50,00","na","100,00","153,33"
