"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Luske79 (PS)","€0,01/€0,02 NL Holdem","7","28,57","14,29","20,00","na","100,00","2,00","100,00","100,00","na","1292,86"
"Luske79 (PS)","€0,01/€0,02 NL Fast Holdem","3068","19,10","15,95","5,53","85,53","28,45","3,67","49,68","51,16","63,64","4,43"
"Luske79 (PS)","€0,02/€0,05 NL Fast Holdem","128","17,21","15,57","2,17","100,00","9,09","4,00","33,33","na","0,00","-19,69"
