"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"aema83 (PS)","€0,02/€0,05 NL Fast Holdem","1083","17,59","11,10","5,04","58,33","28,46","1,63","75,00","61,54","35,71","-43,55"
"aema83 (PS)","€0,01/€0,02 NL Fast Holdem","2324","13,96","9,87","4,15","34,78","33,33","1,43","72,15","52,17","49,06","-1,10"
"aema83 (PS)","€0,01/€0,02 NL Holdem","1","0,00","0,00","0,00","na","na","0,00","na","na","na","-50,00"
