"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Datch19 (PS)","€0,01/€0,02 NL Fast Holdem","5378","11,99","7,84","1,37","60,00","35,87","1,28","42,36","32,00","54,95","10,38"
"Datch19 (PS)","€0,02/€0,05 NL Fast Holdem","119","7,83","3,48","0,00","50,00","33,33","1,33","0,00","na","50,00","74,62"
"Datch19 (PS)","€0,01/€0,02 NL Holdem","5","40,00","20,00","0,00","0,00","50,00","4,00","na","na","100,00","3370,00"
