"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"strimbula (PS)","€0,02/€0,05 NL Fast Holdem","4225","16,54","11,46","2,51","65,48","24,36","2,08","59,73","35,14","59,81","9,62"
"strimbula (PS)","€0,01/€0,02 NL Fast Holdem","245","20,43","12,77","0,00","60,00","32,35","1,25","63,64","0,00","62,50","-28,78"
"strimbula (PS)","€0,05/€0,10 NL Fast Holdem","187","11,54","8,24","0,00","33,33","16,67","1,00","66,67","na","71,43","-12,89"
