"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"assooooooo (PS)","€0,05/€0,10 NL Holdem","554","20,42","13,04","1,61","46,67","27,85","1,96","53,33","71,43","41,67","-63,21"
"assooooooo (PS)","€0,02/€0,05 NL Fast Holdem","1699","16,97","10,71","3,31","50,00","28,57","1,64","64,15","56,25","53,06","6,39"
"assooooooo (PS)","€0,05/€0,10 NL Fast Holdem","4292","15,14","9,35","1,64","61,82","27,64","1,97","55,00","50,00","49,17","-13,98"
"assooooooo (PS)","€0,02/€0,05 NL Holdem","184","14,36","8,29","0,00","66,67","20,00","4,67","75,00","50,00","100,00","-33,59"
