"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"oliva.vito30 (PS)","€0,05/€0,10 NL Holdem","124","31,71","17,89","2,33","60,00","19,35","2,83","71,43","100,00","60,00","152,74"
"oliva.vito30 (PS)","€0,02/€0,05 NL Holdem","42","22,50","12,50","6,67","0,00","20,00","8,00","100,00","100,00","66,67","106,67"
"oliva.vito30 (PS)","€0,05/€0,10 NL Fast Holdem","3047","27,09","18,21","5,09","69,41","26,93","2,82","56,44","52,73","62,79","-16,51"
"oliva.vito30 (PS)","€0,02/€0,05 NL Fast Holdem","28","34,62","19,23","0,00","0,00","42,86","3,00","33,33","na","100,00","-102,14"
