"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"gimoabeve (PS)","€0,02/€0,05 NL Fast Holdem","2044","21,68","14,16","4,56","35,59","27,27","1,86","43,52","45,00","57,95","23,38"
"gimoabeve (PS)","€0,05/€0,10 NL Fast Holdem","1911","20,26","12,51","4,37","23,53","23,13","2,33","52,87","38,89","51,22","6,02"
