"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"camipro9911 (PS)","€0,05/€0,10 NL Fast Holdem","547","11,13","5,95","5,53","0,00","31,91","2,50","80,00","100,00","27,27","36,87"
"camipro9911 (PS)","€0,01/€0,02 NL Fast Holdem","6","33,33","33,33","0,00","na","0,00","4,00","100,00","100,00","na","75,00"
"camipro9911 (PS)","€0,02/€0,05 NL Fast Holdem","6156","19,04","12,79","3,29","40,65","26,81","2,93","65,89","55,41","60,59","-22,65"
"camipro9911 (PS)","€0,02/€0,05 NL Holdem","6","50,00","16,67","0,00","na","0,00","1,00","100,00","na","na","-266,67"
