"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"cecenna14 (PS)","€0,05/€0,10 NL Fast Holdem","990","19,87","16,21","6,09","73,91","25,23","4,95","79,37","68,42","58,82","11,81"
"cecenna14 (PS)","€0,02/€0,05 NL Fast Holdem","3584","22,33","16,41","5,89","66,67","24,79","3,14","80,19","45,33","69,91","-6,29"
"cecenna14 (PS)","€0,01/€0,02 NL Fast Holdem","238","18,30","14,04","6,33","100,00","35,48","2,11","66,67","33,33","42,86","-18,07"
"cecenna14 (PS)","€0,01/€0,02 NL Holdem","3","33,33","33,33","50,00","na","100,00","4,00","100,00","na","na","2833,33"
