"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"alescottiIT (PS)","€0,01/€0,02 NL Fast Holdem","2317","16,03","12,54","3,92","68,42","23,08","4,48","56,32","55,00","81,82","-3,15"
"alescottiIT (PS)","€0,02/€0,05 NL Fast Holdem","472","9,27","7,99","3,61","66,67","29,03","20,00","80,00","50,00","100,00","-72,84"
"alescottiIT (PS)","€0,05/€0,10 NL Fast Holdem","180","18,86","17,71","9,46","100,00","33,33","2,25","42,86","0,00","100,00","-27,28"
"alescottiIT (PS)","€0,01/€0,02 NL Holdem","5","40,00","20,00","0,00","100,00","100,00","2,00","na","na","na","-20,00"
