"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"mekkotto (PS)","€0,01/€0,02 NL Holdem","11","45,45","40,00","66,67","na","100,00","2,67","50,00","100,00","0,00","-145,45"
"mekkotto (PS)","€0,01/€0,02 NL Fast Holdem","3876","19,17","16,95","10,18","39,66","28,80","3,00","55,05","60,00","46,67","-17,03"
"mekkotto (PS)","€0,02/€0,05 NL Fast Holdem","80","15,38","15,38","9,38","na","28,57","16,00","66,67","50,00","na","-10,25"
