"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"binoise (PS)","€0,02/€0,05 NL Fast Holdem","7457","22,04","16,97","6,09","54,22","27,48","2,13","51,82","42,05","57,14","26,91"
"binoise (PS)","€0,02/€0,05 NL Holdem","1460","20,33","14,87","4,36","70,37","33,84","2,48","66,67","39,29","56,25","28,67"
"binoise (PS)","€0,05/€0,10 NL Fast Holdem","784","20,24","13,89","2,78","92,86","31,18","2,87","69,44","33,33","70,59","-12,24"
