"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"POKERDASSI99 (PS)","€0,05/€0,10 NL Fast Holdem","148","15,28","13,19","5,36","60,00","42,86","2,60","66,67","100,00","50,00","-87,09"
"POKERDASSI99 (PS)","€0,02/€0,05 NL Fast Holdem","2937","18,66","16,31","7,31","46,48","26,75","2,28","63,59","42,55","42,55","4,22"
"POKERDASSI99 (PS)","€0,02/€0,05 NL Holdem","1","0,00","0,00","na","na","na","0,00","na","na","na","0,00"
