"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Pod4passion (PS)","€0,02/€0,05 NL Holdem","21","40,00","25,00","0,00","100,00","0,00","8,00","100,00","100,00","na","-96,19"
"Pod4passion (PS)","€0,01/€0,02 NL Fast Holdem","5287","19,04","6,51","3,02","32,35","32,68","1,27","53,45","76,19","50,46","4,44"
"Pod4passion (PS)","€0,02/€0,05 NL Fast Holdem","332","17,03","6,96","0,00","0,00","39,22","1,24","50,00","50,00","50,00","-18,86"
"Pod4passion (PS)","€0,01/€0,02 NL Holdem","39","35,90","7,89","7,69","0,00","57,14","1,36","0,00","na","16,67","526,92"
