"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"WhietCristal (PS)","€0,02/€0,05 NL Fast Holdem","11","36,36","18,18","40,00","na","0,00","6,00","50,00","100,00","na","47,27"
"WhietCristal (PS)","€0,05/€0,10 NL Fast Holdem","2990","21,84","16,06","7,73","46,43","24,23","2,69","55,49","47,50","53,85","8,51"
"WhietCristal (PS)","€0,05/€0,10 NL Holdem","1","100,00","100,00","na","na","0,00","2,00","100,00","0,00","na","-1080,00"
