"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Full691987 (PS)","€0,05/€0,10 NL Fast Holdem","47","13,95","6,98","0,00","na","0,00","4,00","100,00","100,00","100,00","-7,02"
"Full691987 (PS)","€0,01/€0,02 NL Holdem","14","28,57","14,29","0,00","100,00","66,67","10,00","100,00","100,00","na","839,29"
"Full691987 (PS)","€0,02/€0,05 NL Fast Holdem","755","12,21","7,13","2,14","28,57","26,47","2,06","52,17","50,00","62,50","-2,12"
"Full691987 (PS)","€0,01/€0,02 NL Fast Holdem","5909","14,23","9,77","2,94","47,06","29,43","3,02","41,39","41,86","65,45","1,65"
"Full691987 (PS)","€0,02/€0,05 NL Holdem","1","0,00","0,00","0,00","na","na","0,00","na","na","na","-40,00"
