"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"giachecisei (PS)","€0,01/€0,02 NL Fast Holdem","288","71,94","44,96","9,26","33,33","19,74","4,60","90,91","73,08","39,29","82,81"
"giachecisei (PS)","€0,05/€0,10 NL Fast Holdem","1117","22,84","19,87","8,31","64,71","30,00","3,03","34,18","46,67","50,00","-25,43"
"giachecisei (PS)","€0,02/€0,05 NL Fast Holdem","2953","22,37","18,65","7,05","51,81","27,57","2,49","40,57","34,78","52,78","11,75"
