"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"elvi92 (PS)","€0,05/€0,10 NL Fast Holdem","1773","21,42","17,43","5,45","75,68","33,49","1,90","34,82","68,42","52,50","12,58"
"elvi92 (PS)","€0,02/€0,05 NL Fast Holdem","818","20,20","17,66","5,61","79,17","20,00","3,20","56,10","66,67","81,25","-9,80"
"elvi92 (PS)","€0,02/€0,05 NL Holdem","377","21,29","19,14","4,41","66,67","34,29","0,83","30,00","50,00","50,00","27,16"
"elvi92 (PS)","€0,01/€0,02 NL Fast Holdem","185","16,95","15,34","5,45","100,00","25,00","16,00","71,43","33,33","0,00","-9,19"
