"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Mr.Denaz (PS)","€0,02/€0,05 NL Fast Holdem","423","17,49","13,79","3,73","41,67","23,81","2,58","83,33","75,00","57,14","35,60"
"Mr.Denaz (PS)","€0,05/€0,10 NL Fast Holdem","679","22,05","19,75","10,55","70,00","22,22","2,43","51,28","66,67","44,44","21,08"
"Mr.Denaz (PS)","€0,01/€0,02 NL Fast Holdem","2290","12,66","9,52","2,99","66,67","35,81","1,80","63,64","58,62","46,15","-10,15"
"Mr.Denaz (PS)","€0,05/€0,10 NL Holdem","255","26,61","24,19","10,00","45,45","25,00","2,18","40,74","50,00","75,00","-52,16"
"Mr.Denaz (PS)","€0,01/€0,02 NL Holdem","2","50,00","50,00","na","0,00","100,00","0,00","na","na","na","-75,00"
"Mr.Denaz (PS)","€0,02/€0,05 NL Holdem","1","0,00","0,00","0,00","na","na","0,00","na","na","na","0,00"
