"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"Monni99 (PS)","€0,01/€0,02 NL Fast Holdem","1175","14,90","10,11","3,29","40,00","25,36","1,59","32,56","66,67","68,97","-65,32"
"Monni99 (PS)","€0,05/€0,10 NL Fast Holdem","232","18,50","14,10","7,14","33,33","20,00","5,00","54,55","66,67","83,33","-26,90"
"Monni99 (PS)","€0,02/€0,05 NL Fast Holdem","3792","16,87","11,54","5,71","54,17","28,96","2,11","47,56","50,00","59,77","-9,36"
"Monni99 (PS)","€0,01/€0,02 NL Holdem","1","100,00","100,00","na","na","0,00","1,00","100,00","0,00","na","-2900,00"
"Monni99 (PS)","€0,02/€0,05 NL Holdem","4","25,00","25,00","0,00","0,00","100,00","0,50","na","na","0,00","1480,00"
