"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"alticcio (PS)","€0,05/€0,10 NL Holdem","3396","18,38","15,08","3,93","68,35","28,72","1,59","58,05","53,85","52,86","-9,60"
"alticcio (PS)","€0,05/€0,10 NL Fast Holdem","1539","17,96","12,76","4,30","50,00","26,79","1,82","63,24","35,29","38,46","-31,37"
"alticcio (PS)","€0,01/€0,02 NL Fast Holdem","3","33,33","0,00","0,00","na","0,00","0,50","na","na","na","333,33"
"alticcio (PS)","€0,02/€0,05 NL Fast Holdem","2","0,00","0,00","na","na","na","0,00","na","na","na","0,00"
