"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"mazza74 (PS)","€0,01/€0,02 NL Fast Holdem","49","22,92","23,91","7,69","100,00","20,00","5,00","75,00","100,00","na","-118,37"
"mazza74 (PS)","€0,02/€0,05 NL Holdem","421","20,90","17,91","9,09","90,91","12,12","8,25","76,47","71,43","42,86","2,38"
"mazza74 (PS)","€0,05/€0,10 NL Fast Holdem","157","19,08","12,50","1,56","80,00","17,65","32,00","80,00","66,67","75,00","-7,13"
"mazza74 (PS)","€0,02/€0,05 NL Fast Holdem","2851","20,11","16,54","6,69","75,34","25,69","3,82","68,89","61,29","54,90","36,68"
