"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"ADMAIORA89 (PS)","€0,02/€0,05 NL Fast Holdem","196","15,54","12,50","3,95","100,00","17,65","4,00","83,33","66,67","100,00","11,43"
"ADMAIORA89 (PS)","€0,02/€0,05 NL Holdem","185","16,67","14,44","5,26","100,00","37,04","1,85","41,67","50,00","33,33","108,54"
"ADMAIORA89 (PS)","€0,01/€0,02 NL Fast Holdem","5627","18,01","12,14","4,31","39,77","30,60","1,71","62,61","28,07","45,91","22,69"
"ADMAIORA89 (PS)","€0,01/€0,02 NL Holdem","8","50,00","50,00","33,33","0,00","75,00","1,25","50,00","na","na","-518,75"
