"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"xSAIWOx (PS)","€0,02/€0,05 NL Fast Holdem","344","12,28","9,31","0,88","33,33","34,38","1,40","41,67","100,00","42,86","-12,50"
"xSAIWOx (PS)","€0,01/€0,02 NL Fast Holdem","2980","11,77","7,58","2,43","13,64","33,33","1,38","37,66","81,25","76,12","18,79"
"xSAIWOx (PS)","€0,01/€0,02 NL Holdem","5","60,00","20,00","0,00","100,00","50,00","1,00","na","na","50,00","1630,00"
