"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"crisironman (PS)","€0,01/€0,02 NL Fast Holdem","2218","16,31","12,73","4,27","66,67","32,79","1,38","45,98","50,00","45,16","-16,14"
"crisironman (PS)","€0,02/€0,05 NL Fast Holdem","3462","13,90","10,19","2,69","60,00","39,88","1,40","44,26","39,13","47,62","-1,28"
"crisironman (PS)","€0,01/€0,02 NL Holdem","5","40,00","20,00","0,00","na","100,00","0,40","0,00","na","0,00","230,00"
