"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"vitolong (PS)","€0,01/€0,02 NL Holdem","6","50,00","50,00","25,00","50,00","100,00","1,50","100,00","100,00","0,00","3391,67"
"vitolong (PS)","€0,01/€0,02 NL Fast Holdem","2831","21,66","15,19","4,60","55,81","20,95","2,97","56,55","57,14","73,86","23,83"
"vitolong (PS)","€0,02/€0,05 NL Fast Holdem","3002","25,26","22,24","13,98","56,72","25,18","4,32","81,12","46,24","59,02","-12,47"
"vitolong (PS)","€0,02/€0,05 NL Holdem","4","0,00","0,00","0,00","na","na","0,00","na","na","na","-75,00"
