"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"kidgambler86 (PS)","€0,02/€0,05 NL Fast Holdem","91","23,60","21,35","10,81","na","22,22","2,50","50,00","100,00","100,00","2,20"
"kidgambler86 (PS)","€0,02/€0,05 NL Holdem","948","14,90","13,82","7,77","71,43","21,95","7,75","76,00","66,67","33,33","-24,20"
"kidgambler86 (PS)","€0,05/€0,10 NL Fast Holdem","2935","16,22","13,69","7,04","66,15","25,00","3,54","65,71","48,48","52,94","-16,29"
