"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"$KRIMINALE$ (PS)","€0,01/€0,02 NL Fast Holdem","1158","20,58","1,44","0,27","50,00","28,57","2,51","75,00","na","65,38","4,32"
"$KRIMINALE$ (PS)","€0,01/€0,02 NL Holdem","1","0,00","0,00","na","na","na","0,00","na","na","na","0,00"
