"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"I.Pliskin (PS)","€0,01/€0,02 NL Fast Holdem","1396","18,00","13,80","5,63","50,00","27,44","3,50","72,13","78,95","68,00","32,27"
"I.Pliskin (PS)","€0,02/€0,05 NL Fast Holdem","458","19,96","17,04","2,86","80,00","26,00","2,06","69,23","42,86","71,43","33,36"
"I.Pliskin (PS)","€0,01/€0,02 NL Holdem","4","25,00","25,00","0,00","na","100,00","0,50","100,00","0,00","na","4337,50"
