"Player","Game Type","Total Hands","VPIP","PFR","3Bet","vs 3Bet Fold%","WTSD%","Agg","Flop CBet%","Turn CBet%","Flop Fold vs Cbet","bb/100"
"waveseller (PS)","€0,01/€0,02 NL Fast Holdem","3038","16,71","13,84","4,78","63,83","24,18","3,19","64,06","32,26","68,89","-14,24"
"waveseller (PS)","€0,01/€0,02 NL Holdem","8","12,50","0,00","0,00","na","0,00","0,00","na","na","0,00","-118,75"
